Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
suport-auto-magnetic,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/suport-auto-magnetic-4/1200/1400,4,Suport Auto Magnetic pentru Telefon - imagine 4,,,,
cablu-usbc-tresat-2m,Cablu USB-C la USB-C Tresat 2m,"Cablul USB-C la USB-C tresat de 2m de la Halcyon are o împletitură din nailon rezistentă, testată la peste 20.000 de îndoiri, pentru o durată de viață mult mai lungă decât a cablurilor obișnuite. Suportă încărcare rapidă până la 100W, suficient pentru laptopuri și telefoane deopotrivă. Lungimea de 2 metri oferă libertate de mișcare în timpul încărcării. Cablul USB-C Tresat 2m este disponibil în categoria Accesorii Telefon de pe EstelaOferta.",Halcyon,Accesorii Telefon,Accesorii Telefon,,TRUE,Culoare,Negru Onyx,,,CABLU-USBC-TRESAT-2M-BLA,,shopify,100,deny,manual,69,,TRUE,TRUE,https://picsum.photos/seed/cablu-usbc-tresat-2m-1/1200/1400,1,Cablu USB-C la USB-C Tresat 2m - imagine 1,FALSE,Cablu USB-C la USB-C Tresat 2m,"Împletitură din nailon, rezistent la îndoiri repetate.",active
cablu-usbc-tresat-2m,,,,,,,,,Alb Crem,,,CABLU-USBC-TRESAT-2M-WHI,,shopify,100,deny,manual,69,,TRUE,TRUE,https://picsum.photos/seed/cablu-usbc-tresat-2m-2/1200/1400,2,Cablu USB-C la USB-C Tresat 2m - imagine 2,FALSE,,,
cablu-usbc-tresat-2m,,,,,,,,,Bleumarin Închis,,,CABLU-USBC-TRESAT-2M-NAV,,shopify,100,deny,manual,69,,TRUE,TRUE,https://picsum.photos/seed/cablu-usbc-tresat-2m-3/1200/1400,3,Cablu USB-C la USB-C Tresat 2m - imagine 3,FALSE,,,
cablu-usbc-tresat-2m,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/cablu-usbc-tresat-2m-4/1200/1400,4,Cablu USB-C la USB-C Tresat 2m - imagine 4,,,,
casca-bluetooth-clearcall,Cască Bluetooth In-Ear ClearCall,"Căștile bluetooth in-ear ClearCall de la Kessel folosesc un sistem de microfon dublu pentru a reduce zgomotul de fundal la apeluri, ideal pentru muncă de acasă sau deplasări. Autonomia totală de 30 de ore, inclusiv carcasa de încărcare, acoperă zile întregi de utilizare, iar rezistența la apă IPX4 le face potrivite și pentru antrenamente. Controlul tactil simplifică schimbarea melodiilor și răspunsul la apeluri. ClearCall este disponibilă în categoria Accesorii Telefon de pe EstelaOferta, cu livrare rapidă.",Kessel,Accesorii Telefon,Accesorii Telefon,flash-deal,TRUE,Culoare,Negru Onyx,,,CASCA-BLUETOOTH-CLEARCALL-BLA,,shopify,47,deny,manual,179,229,TRUE,TRUE,https://picsum.photos/seed/casca-bluetooth-clearcall-1/1200/1400,1,Cască Bluetooth In-Ear ClearCall - imagine 1,FALSE,Cască Bluetooth In-Ear ClearCall,"Microfon dublu pentru apeluri clare, autonomie 30h cu carcasă.",active
casca-bluetooth-clearcall,,,,,,,,,Alb Crem,,,CASCA-BLUETOOTH-CLEARCALL-WHI,,shopify,47,deny,manual,179,229,TRUE,TRUE,https://picsum.photos/seed/casca-bluetooth-clearcall-2/1200/1400,2,Cască Bluetooth In-Ear ClearCall - imagine 2,FALSE,,,
casca-bluetooth-clearcall,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/casca-bluetooth-clearcall-3/1200/1400,3,Cască Bluetooth In-Ear ClearCall - imagine 3,,,,
casca-bluetooth-clearcall,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/casca-bluetooth-clearcall-4/1200/1400,4,Cască Bluetooth In-Ear ClearCall - imagine 4,,,,
trepied-selfie,Trepied Selfie cu Telecomandă,"Trepiedul selfie cu telecomandă de la Norr este extensibil până la 1.6 metri și are un suport rotativ 360° pentru orice unghi de filmare sau fotografiere. Telecomanda Bluetooth inclusă permite declanșarea de la distanță, fără a atinge telefonul. Structura ușoară din aluminiu îl face practic pentru călătorii și conținut pentru social media. Trepiedul Selfie cu Telecomandă face parte din categoria Accesorii Telefon de pe EstelaOferta.",Norr,Accesorii Telefon,Accesorii Telefon,new,TRUE,Culoare,Negru Onyx,,,TREPIED-SELFIE-BLA,,shopify,130,deny,manual,99,139,TRUE,TRUE,https://picsum.photos/seed/trepied-selfie-1/1200/1400,1,Trepied Selfie cu Telecomandă - imagine 1,FALSE,Trepied Selfie cu Telecomandă,"Extensibil până la 1.6m, telecomandă Bluetooth inclusă.",active
trepied-selfie,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/trepied-selfie-2/1200/1400,2,Trepied Selfie cu Telecomandă - imagine 2,,,,
trepied-selfie,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/trepied-selfie-3/1200/1400,3,Trepied Selfie cu Telecomandă - imagine 3,,,,
trepied-selfie,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/trepied-selfie-4/1200/1400,4,Trepied Selfie cu Telecomandă - imagine 4,,,,
adaptor-priza-dual,Adaptor Priză Dublu USB-C + USB-A,"Adaptorul de priză dublu USB-C + USB-A de la Vantage folosește tehnologie GaN pentru un format compact, fără a compromite puterea de încărcare. Portul USB-C de 20W încarcă rapid telefonul, iar portul USB-A rămâne util pentru accesorii mai vechi. Protecția la supraîncărcare îl face sigur pentru utilizare zilnică sau în călătorii. Adaptorul Priză Dublu este disponibil în categoria Accesorii Telefon de pe EstelaOferta, cu livrare rapidă.",Vantage,Accesorii Telefon,Accesorii Telefon,,TRUE,Culoare,Negru Onyx,,,ADAPTOR-PRIZA-DUAL-BLA,,shopify,87,deny,manual,79,,TRUE,TRUE,https://picsum.photos/seed/adaptor-priza-dual-1/1200/1400,1,Adaptor Priză Dublu USB-C + USB-A - imagine 1,FALSE,Adaptor Priză Dublu USB-C + USB-A,"20W GaN, format compact pentru călătorii.",active
adaptor-priza-dual,,,,,,,,,Alb Crem,,,ADAPTOR-PRIZA-DUAL-WHI,,shopify,87,deny,manual,79,,TRUE,TRUE,https://picsum.photos/seed/adaptor-priza-dual-2/1200/1400,2,Adaptor Priză Dublu USB-C + USB-A - imagine 2,FALSE,,,
adaptor-priza-dual,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/adaptor-priza-dual-3/1200/1400,3,Adaptor Priză Dublu USB-C + USB-A - imagine 3,,,,
adaptor-priza-dual,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/adaptor-priza-dual-4/1200/1400,4,Adaptor Priză Dublu USB-C + USB-A - imagine 4,,,,
set-lentile-foto,Set Lentile Foto pentru Telefon,"Setul de lentile foto pentru telefon de la Auric include 3 lentile din sticlă optică — wide-angle, macro și fisheye — pentru fotografii creative direct de pe telefon. Clipul universal este compatibil cu majoritatea telefoanelor și huselor subțiri, iar husa de transport inclusă protejează lentilele pe drum. Este un accesoriu potrivit pentru cei pasionați de fotografie mobilă. Setul de Lentile Foto este disponibil în stoc limitat în categoria Accesorii Telefon de pe EstelaOferta.",Auric,Accesorii Telefon,Accesorii Telefon,limited,TRUE,Culoare,Negru Onyx,,,SET-LENTILE-FOTO-BLA,,shopify,45,deny,manual,129,169,TRUE,TRUE,https://picsum.photos/seed/set-lentile-foto-1/1200/1400,1,Set Lentile Foto pentru Telefon - imagine 1,FALSE,Set Lentile Foto pentru Telefon,"Wide, macro și fisheye — clip universal, sticlă optică.",active
set-lentile-foto,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/set-lentile-foto-2/1200/1400,2,Set Lentile Foto pentru Telefon - imagine 2,,,,
set-lentile-foto,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/set-lentile-foto-3/1200/1400,3,Set Lentile Foto pentru Telefon - imagine 3,,,,
set-lentile-foto,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/set-lentile-foto-4/1200/1400,4,Set Lentile Foto pentru Telefon - imagine 4,,,,
suport-birou-flexibil,Suport Telefon cu Braț Flexibil pentru Birou,"Suportul de telefon cu braț flexibil pentru birou de la Halcyon se ajustează pe 360° pentru unghiul perfect la apeluri video sau vizionat conținut. Brațul din aluminiu este suficient de rigid pentru a menține telefonul stabil, iar clema din cauciuc antiderapant nu zgârie biroul. Este compatibil cu majoritatea telefoanelor, indiferent de dimensiune. Comandă Suportul Birou Flexibil din categoria Accesorii Telefon de pe EstelaOferta, cu livrare rapidă și garanție.",Halcyon,Accesorii Telefon,Accesorii Telefon,new,TRUE,Culoare,Negru Onyx,,,SUPORT-BIROU-FLEXIBIL-BLA,,shopify,45,deny,manual,119,149,TRUE,TRUE,https://picsum.photos/seed/suport-birou-flexibil-1/1200/1400,1,Suport Telefon cu Braț Flexibil pentru Birou - imagine 1,FALSE,Suport Telefon cu Braț Flexibil pentru Birou,"Braț ajustabil pe 360°, clemă solidă pentru orice birou.",active
suport-birou-flexibil,,,,,,,,,Alb Crem,,,SUPORT-BIROU-FLEXIBIL-WHI,,shopify,45,deny,manual,119,149,TRUE,TRUE,https://picsum.photos/seed/suport-birou-flexibil-2/1200/1400,2,Suport Telefon cu Braț Flexibil pentru Birou - imagine 2,FALSE,,,
suport-birou-flexibil,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/suport-birou-flexibil-3/1200/1400,3,Suport Telefon cu Braț Flexibil pentru Birou - imagine 3,,,,
suport-birou-flexibil,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/suport-birou-flexibil-4/1200/1400,4,Suport Telefon cu Braț Flexibil pentru Birou - imagine 4,,,,
cablu-lightning-tresat-1m,Cablu Lightning la USB-C Tresat 1m,"Cablul Lightning la USB-C tresat de 1m de la Kessel este certificat MFi, garantând compatibilitate completă cu dispozitivele Apple. Împletitura din nailon și conectorii din aluminiu îi oferă rezistență la uz zilnic, iar transferul de date rămâne stabil chiar și la încărcare rapidă. Lungimea de 1 metru este ideală pentru încărcare de pe birou sau noptieră. Cablul Lightning Tresat 1m face parte din categoria Accesorii Telefon de pe EstelaOferta.",Kessel,Accesorii Telefon,Accesorii Telefon,new,TRUE,Culoare,Negru Onyx,,,CABLU-LIGHTNING-TRESAT-1M-BLA,,shopify,90,deny,manual,89,,TRUE,TRUE,https://picsum.photos/seed/cablu-lightning-tresat-1m-1/1200/1400,1,Cablu Lightning la USB-C Tresat 1m - imagine 1,FALSE,Cablu Lightning la USB-C Tresat 1m,"Împletitură din nailon, certificat MFi, încărcare rapidă.",active
cablu-lightning-tresat-1m,,,,,,,,,Alb Crem,,,CABLU-LIGHTNING-TRESAT-1M-WHI,,shopify,90,deny,manual,89,,TRUE,TRUE,https://picsum.photos/seed/cablu-lightning-tresat-1m-2/1200/1400,2,Cablu Lightning la USB-C Tresat 1m - imagine 2,FALSE,,,
cablu-lightning-tresat-1m,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/cablu-lightning-tresat-1m-3/1200/1400,3,Cablu Lightning la USB-C Tresat 1m - imagine 3,,,,
cablu-lightning-tresat-1m,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/cablu-lightning-tresat-1m-4/1200/1400,4,Cablu Lightning la USB-C Tresat 1m - imagine 4,,,,
tricou-bumbac-essential,Tricou din Bumbac Organic Essential,"Tricoul din bumbac organic Essential de la Halcyon este realizat dintr-un bumbac organic certificat GOTS, greu și rezistent, preshrunk pentru a-și păstra forma spălare după spălare. Gulerul întărit și croiala regular fit fac acest tricou versatil, potrivit atât pentru purtat zilnic, cât și sub o jachetă. Este disponibil în mai multe culori și mărimi, de la XS la XL. Tricoul Essential face parte din categoria Fashion de pe EstelaOferta, cu livrare rapidă.",Halcyon,Fashion,Fashion,bestseller,TRUE,Culoare,Alb Crem,Mărime,XS,TRICOU-BUMBAC-ESSENTIAL-WHI-XS,,shopify,11,deny,manual,129,,TRUE,TRUE,https://picsum.photos/seed/tricou-bumbac-essential-1/1200/1400,1,Tricou din Bumbac Organic Essential - imagine 1,FALSE,Tricou din Bumbac Organic Essential,"Bumbac organic greu, croială care își păstrează forma.",active
tricou-bumbac-essential,,,,,,,,,Alb Crem,,S,TRICOU-BUMBAC-ESSENTIAL-WHI-S,,shopify,11,deny,manual,129,,TRUE,TRUE,https://picsum.photos/seed/tricou-bumbac-essential-2/1200/1400,2,Tricou din Bumbac Organic Essential - imagine 2,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Alb Crem,,M,TRICOU-BUMBAC-ESSENTIAL-WHI-M,,shopify,11,deny,manual,129,,TRUE,TRUE,https://picsum.photos/seed/tricou-bumbac-essential-3/1200/1400,3,Tricou din Bumbac Organic Essential - imagine 3,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Alb Crem,,L,TRICOU-BUMBAC-ESSENTIAL-WHI-L,,shopify,11,deny,manual,129,,TRUE,TRUE,https://picsum.photos/seed/tricou-bumbac-essential-4/1200/1400,4,Tricou din Bumbac Organic Essential - imagine 4,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Alb Crem,,XL,TRICOU-BUMBAC-ESSENTIAL-WHI-XL,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Negru Onyx,,XS,TRICOU-BUMBAC-ESSENTIAL-BLA-XS,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Negru Onyx,,S,TRICOU-BUMBAC-ESSENTIAL-BLA-S,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Negru Onyx,,M,TRICOU-BUMBAC-ESSENTIAL-BLA-M,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Negru Onyx,,L,TRICOU-BUMBAC-ESSENTIAL-BLA-L,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Negru Onyx,,XL,TRICOU-BUMBAC-ESSENTIAL-BLA-XL,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Gri Piatră,,XS,TRICOU-BUMBAC-ESSENTIAL-STO-XS,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Gri Piatră,,S,TRICOU-BUMBAC-ESSENTIAL-STO-S,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Gri Piatră,,M,TRICOU-BUMBAC-ESSENTIAL-STO-M,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Gri Piatră,,L,TRICOU-BUMBAC-ESSENTIAL-STO-L,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Gri Piatră,,XL,TRICOU-BUMBAC-ESSENTIAL-STO-XL,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Bleumarin Închis,,XS,TRICOU-BUMBAC-ESSENTIAL-NAV-XS,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Bleumarin Închis,,S,TRICOU-BUMBAC-ESSENTIAL-NAV-S,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Bleumarin Închis,,M,TRICOU-BUMBAC-ESSENTIAL-NAV-M,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Bleumarin Închis,,L,TRICOU-BUMBAC-ESSENTIAL-NAV-L,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
tricou-bumbac-essential,,,,,,,,,Bleumarin Închis,,XL,TRICOU-BUMBAC-ESSENTIAL-NAV-XL,,shopify,11,deny,manual,129,,TRUE,TRUE,,,,FALSE,,,
geaca-bomber-urbanshell,Geacă Bomber Impermeabilă UrbanShell,"Geaca bomber impermeabilă UrbanShell de la Vantage combină o membrană tehnică impermeabilă cu o croială bomber clasică, potrivită pentru zilele de tranziție dintre sezoane. Buzunarele cu fermoar ascuns și manșetele ajustabile adaugă funcționalitate fără să afecteze silueta, iar căptușeala interioară moale oferă confort suplimentar. Este disponibilă în mai multe mărimi, de la S la XXL. Comandă UrbanShell din categoria Fashion de pe EstelaOferta, cu livrare rapidă.",Vantage,Fashion,Fashion,flash-deal,TRUE,Culoare,Negru Onyx,Mărime,S,GEACA-BOMBER-URBANSHELL-BLA-S,,shopify,4,deny,manual,549,699,TRUE,TRUE,https://picsum.photos/seed/geaca-bomber-urbanshell-1/1200/1400,1,Geacă Bomber Impermeabilă UrbanShell - imagine 1,FALSE,Geacă Bomber Impermeabilă UrbanShell,"Membrană impermeabilă, croială bomber urbană.",active
geaca-bomber-urbanshell,,,,,,,,,Negru Onyx,,M,GEACA-BOMBER-URBANSHELL-BLA-M,,shopify,4,deny,manual,549,699,TRUE,TRUE,https://picsum.photos/seed/geaca-bomber-urbanshell-2/1200/1400,2,Geacă Bomber Impermeabilă UrbanShell - imagine 2,FALSE,,,
geaca-bomber-urbanshell,,,,,,,,,Negru Onyx,,L,GEACA-BOMBER-URBANSHELL-BLA-L,,shopify,4,deny,manual,549,699,TRUE,TRUE,https://picsum.photos/seed/geaca-bomber-urbanshell-3/1200/1400,3,Geacă Bomber Impermeabilă UrbanShell - imagine 3,FALSE,,,
geaca-bomber-urbanshell,,,,,,,,,Negru Onyx,,XL,GEACA-BOMBER-URBANSHELL-BLA-XL,,shopify,4,deny,manual,549,699,TRUE,TRUE,https://picsum.photos/seed/geaca-bomber-urbanshell-4/1200/1400,4,Geacă Bomber Impermeabilă UrbanShell - imagine 4,FALSE,,,
geaca-bomber-urbanshell,,,,,,,,,Negru Onyx,,XXL,GEACA-BOMBER-URBANSHELL-BLA-XXL,,shopify,4,deny,manual,549,699,TRUE,TRUE,,,,FALSE,,,
geaca-bomber-urbanshell,,,,,,,,,Bleumarin Închis,,S,GEACA-BOMBER-URBANSHELL-NAV-S,,shopify,4,deny,manual,549,699,TRUE,TRUE,,,,FALSE,,,
geaca-bomber-urbanshell,,,,,,,,,Bleumarin Închis,,M,GEACA-BOMBER-URBANSHELL-NAV-M,,shopify,4,deny,manual,549,699,TRUE,TRUE,,,,FALSE,,,
geaca-bomber-urbanshell,,,,,,,,,Bleumarin Închis,,L,GEACA-BOMBER-URBANSHELL-NAV-L,,shopify,4,deny,manual,549,699,TRUE,TRUE,,,,FALSE,,,
geaca-bomber-urbanshell,,,,,,,,,Bleumarin Închis,,XL,GEACA-BOMBER-URBANSHELL-NAV-XL,,shopify,4,deny,manual,549,699,TRUE,TRUE,,,,FALSE,,,
geaca-bomber-urbanshell,,,,,,,,,Bleumarin Închis,,XXL,GEACA-BOMBER-URBANSHELL-NAV-XXL,,shopify,4,deny,manual,549,699,TRUE,TRUE,,,,FALSE,,,
geaca-bomber-urbanshell,,,,,,,,,Gri Piatră,,S,GEACA-BOMBER-URBANSHELL-STO-S,,shopify,4,deny,manual,549,699,TRUE,TRUE,,,,FALSE,,,
geaca-bomber-urbanshell,,,,,,,,,Gri Piatră,,M,GEACA-BOMBER-URBANSHELL-STO-M,,shopify,4,deny,manual,549,699,TRUE,TRUE,,,,FALSE,,,
geaca-bomber-urbanshell,,,,,,,,,Gri Piatră,,L,GEACA-BOMBER-URBANSHELL-STO-L,,shopify,4,deny,manual,549,699,TRUE,TRUE,,,,FALSE,,,
geaca-bomber-urbanshell,,,,,,,,,Gri Piatră,,XL,GEACA-BOMBER-URBANSHELL-STO-XL,,shopify,4,deny,manual,549,699,TRUE,TRUE,,,,FALSE,,,
geaca-bomber-urbanshell,,,,,,,,,Gri Piatră,,XXL,GEACA-BOMBER-URBANSHELL-STO-XXL,,shopify,4,deny,manual,549,699,TRUE,TRUE,,,,FALSE,,,
pantaloni-chino-slim,Pantaloni Chino Slim Fit,"Pantalonii chino slim fit de la Norr sunt confecționați din bumbac cu adaos de elastan, pentru o siluetă curată care nu restricționează mișcarea pe parcursul zilei. Buzunarele frontale oblice și talia ajustabilă cu curea interioară completează o croială gândită pentru purtat zilnic, la birou sau în oraș. Sunt disponibili în culori neutre, ușor de asortat. Pantalonii Chino Slim Fit fac parte din categoria Fashion de pe EstelaOferta.",Norr,Fashion,Fashion,flash-deal,TRUE,Culoare,Gri Piatră,Mărime,S,PANTALONI-CHINO-SLIM-STO-S,,shopify,11,deny,manual,259,319,TRUE,TRUE,https://picsum.photos/seed/pantaloni-chino-slim-1/1200/1400,1,Pantaloni Chino Slim Fit - imagine 1,FALSE,Pantaloni Chino Slim Fit,"Bumbac elastic, croială slim care nu restricționează mișcarea.",active
pantaloni-chino-slim,,,,,,,,,Gri Piatră,,M,PANTALONI-CHINO-SLIM-STO-M,,shopify,11,deny,manual,259,319,TRUE,TRUE,https://picsum.photos/seed/pantaloni-chino-slim-2/1200/1400,2,Pantaloni Chino Slim Fit - imagine 2,FALSE,,,
pantaloni-chino-slim,,,,,,,,,Gri Piatră,,L,PANTALONI-CHINO-SLIM-STO-L,,shopify,11,deny,manual,259,319,TRUE,TRUE,https://picsum.photos/seed/pantaloni-chino-slim-3/1200/1400,3,Pantaloni Chino Slim Fit - imagine 3,FALSE,,,
pantaloni-chino-slim,,,,,,,,,Gri Piatră,,XL,PANTALONI-CHINO-SLIM-STO-XL,,shopify,11,deny,manual,259,319,TRUE,TRUE,https://picsum.photos/seed/pantaloni-chino-slim-4/1200/1400,4,Pantaloni Chino Slim Fit - imagine 4,FALSE,,,
pantaloni-chino-slim,,,,,,,,,Negru Onyx,,S,PANTALONI-CHINO-SLIM-BLA-S,,shopify,11,deny,manual,259,319,TRUE,TRUE,,,,FALSE,,,
pantaloni-chino-slim,,,,,,,,,Negru Onyx,,M,PANTALONI-CHINO-SLIM-BLA-M,,shopify,11,deny,manual,259,319,TRUE,TRUE,,,,FALSE,,,
pantaloni-chino-slim,,,,,,,,,Negru Onyx,,L,PANTALONI-CHINO-SLIM-BLA-L,,shopify,11,deny,manual,259,319,TRUE,TRUE,,,,FALSE,,,
pantaloni-chino-slim,,,,,,,,,Negru Onyx,,XL,PANTALONI-CHINO-SLIM-BLA-XL,,shopify,11,deny,manual,259,319,TRUE,TRUE,,,,FALSE,,,
pantaloni-chino-slim,,,,,,,,,Bleumarin Închis,,S,PANTALONI-CHINO-SLIM-NAV-S,,shopify,11,deny,manual,259,319,TRUE,TRUE,,,,FALSE,,,
pantaloni-chino-slim,,,,,,,,,Bleumarin Închis,,M,PANTALONI-CHINO-SLIM-NAV-M,,shopify,11,deny,manual,259,319,TRUE,TRUE,,,,FALSE,,,
pantaloni-chino-slim,,,,,,,,,Bleumarin Închis,,L,PANTALONI-CHINO-SLIM-NAV-L,,shopify,11,deny,manual,259,319,TRUE,TRUE,,,,FALSE,,,
pantaloni-chino-slim,,,,,,,,,Bleumarin Închis,,XL,PANTALONI-CHINO-SLIM-NAV-XL,,shopify,11,deny,manual,259,319,TRUE,TRUE,,,,FALSE,,,
rochie-midi-in,Rochie Midi din In,"Rochia midi din in de la Kessel este confecționată din in 100%, un material respirabil, potrivit pentru zile lungi de vară. Croiala fluidă și cureaua ajustabilă la talie oferă o siluetă flatantă, fără să limiteze mișcarea, iar buzunarele laterale adaugă practicitate rar întâlnită la rochii. Este disponibilă în mai multe culori, de la nisipiu la smarald. Rochia Midi din In face parte din categoria Fashion de pe EstelaOferta, cu livrare rapidă.",Kessel,Fashion,Fashion,new,TRUE,Culoare,Nisipiu,Mărime,XS,ROCHIE-MIDI-IN-SAN-XS,,shopify,4,deny,manual,379,,TRUE,TRUE,https://picsum.photos/seed/rochie-midi-in-1/1200/1400,1,Rochie Midi din In - imagine 1,FALSE,Rochie Midi din In,"In respirabil, croială fluidă pentru orice sezon cald.",active
rochie-midi-in,,,,,,,,,Nisipiu,,S,ROCHIE-MIDI-IN-SAN-S,,shopify,4,deny,manual,379,,TRUE,TRUE,https://picsum.photos/seed/rochie-midi-in-2/1200/1400,2,Rochie Midi din In - imagine 2,FALSE,,,
rochie-midi-in,,,,,,,,,Nisipiu,,M,ROCHIE-MIDI-IN-SAN-M,,shopify,4,deny,manual,379,,TRUE,TRUE,https://picsum.photos/seed/rochie-midi-in-3/1200/1400,3,Rochie Midi din In - imagine 3,FALSE,,,
rochie-midi-in,,,,,,,,,Nisipiu,,L,ROCHIE-MIDI-IN-SAN-L,,shopify,4,deny,manual,379,,TRUE,TRUE,https://picsum.photos/seed/rochie-midi-in-4/1200/1400,4,Rochie Midi din In - imagine 4,FALSE,,,
rochie-midi-in,,,,,,,,,Alb Crem,,XS,ROCHIE-MIDI-IN-WHI-XS,,shopify,4,deny,manual,379,,TRUE,TRUE,,,,FALSE,,,
rochie-midi-in,,,,,,,,,Alb Crem,,S,ROCHIE-MIDI-IN-WHI-S,,shopify,4,deny,manual,379,,TRUE,TRUE,,,,FALSE,,,
rochie-midi-in,,,,,,,,,Alb Crem,,M,ROCHIE-MIDI-IN-WHI-M,,shopify,4,deny,manual,379,,TRUE,TRUE,,,,FALSE,,,
rochie-midi-in,,,,,,,,,Alb Crem,,L,ROCHIE-MIDI-IN-WHI-L,,shopify,4,deny,manual,379,,TRUE,TRUE,,,,FALSE,,,
rochie-midi-in,,,,,,,,,Smarald,,XS,ROCHIE-MIDI-IN-EME-XS,,shopify,4,deny,manual,379,,TRUE,TRUE,,,,FALSE,,,
rochie-midi-in,,,,,,,,,Smarald,,S,ROCHIE-MIDI-IN-EME-S,,shopify,4,deny,manual,379,,TRUE,TRUE,,,,FALSE,,,
rochie-midi-in,,,,,,,,,Smarald,,M,ROCHIE-MIDI-IN-EME-M,,shopify,4,deny,manual,379,,TRUE,TRUE,,,,FALSE,,,
rochie-midi-in,,,,,,,,,Smarald,,L,ROCHIE-MIDI-IN-EME-L,,shopify,4,deny,manual,379,,TRUE,TRUE,,,,FALSE,,,
pulover-lana-merino,Pulover din Lână Merino,"Puloverul din lână merino de la Halcyon este tricotat din fire fine de 17,5 microni, suficient de moi pentru a fi purtate direct pe piele, fără disconfort. Lâna merino reglează temperatura corpului în mod natural și rezistă la mirosuri, ceea ce îl face potrivit pentru purtat mai multe zile la rând între spălări. Este lavabil la mașină și disponibil în mărimi de la XS la XL. Puloverul din Lână Merino face parte din categoria Fashion de pe EstelaOferta.",Halcyon,Fashion,Fashion,"bestseller, flash-deal",TRUE,Culoare,Bleumarin Închis,Mărime,XS,PULOVER-LANA-MERINO-NAV-XS,,shopify,6,deny,manual,449,549,TRUE,TRUE,https://picsum.photos/seed/pulover-lana-merino-1/1200/1400,1,Pulover din Lână Merino - imagine 1,FALSE,Pulover din Lână Merino,"Merino fin de 17,5 microni, purtat direct pe piele.",active
pulover-lana-merino,,,,,,,,,Bleumarin Închis,,S,PULOVER-LANA-MERINO-NAV-S,,shopify,6,deny,manual,449,549,TRUE,TRUE,https://picsum.photos/seed/pulover-lana-merino-2/1200/1400,2,Pulover din Lână Merino - imagine 2,FALSE,,,
pulover-lana-merino,,,,,,,,,Bleumarin Închis,,M,PULOVER-LANA-MERINO-NAV-M,,shopify,6,deny,manual,449,549,TRUE,TRUE,https://picsum.photos/seed/pulover-lana-merino-3/1200/1400,3,Pulover din Lână Merino - imagine 3,FALSE,,,
